Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25712876_1	66.7700145935228	48.0	147.65152690379716	148	18.181818181818183	18866742.0
SRR25712876_2	55.984999882689394	50.0	147.639594265931	148	9.090909090909092	18866742.0
SRR25712877_1	66.88881243342396	48.0	147.6364070949456	148	18.181818181818183	19408239.0
SRR25712877_2	55.99186591970974	50.0	147.62450225391393	148	9.090909090909092	19408239.0
SRR25712878_1	69.4683665486318	49.0	147.32350087003078	148	18.181818181818183	17093648.0
SRR25712878_2	58.799104834615285	51.0	147.31103834593998	148	9.090909090909092	17093648.0
SRR25712879_1	68.15628818678937	48.0	147.66695758758334	148	18.181818181818183	22943234.0
SRR25712879_2	56.89705573930704	49.0	147.65439423230396	148	9.090909090909092	22943234.0
SRR25712880_1	63.372994020967916	49.0	147.69624010464645	148	18.181818181818183	22124020.0
SRR25712880_2	47.59925839781112	50.0	147.6888099902278	148	0.0	22124020.0
SRR25712881_1	62.76659079532781	49.0	147.65422773231745	148	18.181818181818183	21332642.0
SRR25712881_2	46.85861029238707	50.0	147.6468210547948	148	9.090909090909092	21332642.0
